error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	ILLS	2703663	J.L. Crane & J.D. Schoknecht	North Carolina	Swain County	0.03	outside_boundary_exact	Tennessee, Sevier County	35.611206,-83.424881	ILLS00091880	Great Smoky Mountains National Park, New Found Gap.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703663
STATE	100	ILLS	2703722	J.L. Crane & J.D. Schoknecht	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.611206,-83.424881	ILLS00092156	Great Smoky Mountains National Park, Newfound Gap. Tennessee-North Carolina State Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703722
STATE	100	ILLS	2703747	J.L. Crane & J.D. Schoknecht	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.611206,-83.424881	ILLS00092223	Great Smoky Mountains National Park, Newfound Gap. Tennessee-North Carolina State Line.	https://lichenportal.org/portal/collections/individual/index.php?occid=2703747
STATE	100	ILLS	2703748	J.L. Crane & J.D. Schoknecht	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.611206,-83.424881	ILLS00092157	Great Smoky Mountains National Park, Newfound Gap, Tennessee-North Carolina State Line	https://lichenportal.org/portal/collections/individual/index.php?occid=2703748
STATE	100	KANU	1764134	Leslie Hubricht	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.611206,-83.424881	4300	Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1764134
STATE	100	KANU	1764142	Leslie Hubricht	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.611206,-83.424881	4308	Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1764142
STATE	100	TENN	3579138	A. J. Sharp	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.660097,-83.295709	TENN-L-0008702	Near Eagle Rocks, N. C.	https://lichenportal.org/portal/collections/individual/index.php?occid=3579138
STATE	100	TENN	3579139	A. J. Sharp	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.660097,-83.295709	TENN-L-0008703	Near Eagle Rocks, N. C.	https://lichenportal.org/portal/collections/individual/index.php?occid=3579139
STATE	100	WIS	1200604	H.A. Imshaug	North Carolina	Swain	0.03	outside_boundary_exact	Tennessee, Sevier County	35.611206,-83.424881	WIS-L-0053403	Border of Swain (NC) and Sevier (TN) County at Newfound Gap	https://lichenportal.org/portal/collections/individual/index.php?occid=1200604
STATE	100	DUKE	5686288	Dey, Jonathan P.	North Carolina	Swain Co.	0.02	outside_boundary_exact	Tennessee, Sevier County	35.58661,-83.47282	368398	Great Smoky Mountains National Park, Mount Collins, along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=5686288
STATE	100	DUKE	5774460	Dey, Jonathan P.	North Carolina	Swain Co.	0.02	outside_boundary_exact	Tennessee, Sevier County	35.58661,-83.47282	368533	Great Smoky Mountains National Park, Mount Collins, along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=5774460
